,date,organization,text,neg,neu,pos,compound
36,2018-04-04,BBC,"RT @bbcthesocial: You're never too old for a selfie ??

@Antonis95K https://t.co/VHihA5XOrY",0.0,1.0,0.0,0.0
37,2018-04-04,BBC,"?? A police force's e-fit of a burglary suspect has been mocked for its resemblance to the Cheshire Cat.
?… https://t.co/VdkfuAmiFI",0.209,0.791,0.0,-0.5423
38,2018-04-04,BBC,?? There's a good reason why this woman was asked to play the flute during brain surgery.  https://t.co/I5FpONxP4f,0.0,0.739,0.261,0.6486
39,2018-04-04,BBC,RT @BBCTwo: How did he work this out so quickly?! ? #UniversityChallenge https://t.co/Lor9fiz59l,0.0,1.0,0.0,0.0
40,2018-04-04,BBC,"RT @bbcworldservice: The whales who love to sing in the dark ?  https://t.co/bm6YjWskkt 

(? Turn up the volume for this one!) https://t.co…",0.0,0.817,0.183,0.6696
41,2018-04-04,BBC,"Did Martin Luther King achieve his life's dream?
? https://t.co/xZyN5SU62z https://t.co/fpiku6X6FP",0.0,0.818,0.182,0.25
42,2018-04-04,BBC,"? This seven-week-old jaguar is on a serious mission!  
#BigCatsAboutTheHouse https://t.co/JbiRyVXDCL",0.166,0.834,0.0,-0.1511
43,2018-04-03,BBC,"Philomena Cunk's landmark mockumentary series takes us through Britain's history, journeying from the Big Bang to B… https://t.co/1rF5k3acxy",0.0,0.929,0.071,0.0772
44,2018-04-03,BBC,"? Andrew Scott performs the opening lines of #Shakespeare's most famous soliloquy. 

#Hamlet | Watch on @BBCiPlayer https://t.co/zZ15WjA9CL",0.0,1.0,0.0,0.0
45,2018-04-03,BBC,"No time to shop or cook? No problem! 
?????
These easy recipes only have five ingredients.
? https://t.co/RanWkLFdlU https://t.co/moI1Af2olz",0.304,0.576,0.119,-0.5411
46,2018-04-03,BBC,"RT @BBCTwo: Tonight at 9pm, a cancer surgeon returns from annual leave to find his surgical list has snowballed due to staff shortages. #Ho…",0.265,0.735,0.0,-0.7351
47,2018-04-03,BBC,?? Fancy a dip? https://t.co/gpfkGcue3C,0.0,1.0,0.0,0.0
48,2018-04-03,BBC,"What's it like to live with a brain tumour? 
?? Ten-year-old Josh says it's all about staying happy and thinking of… https://t.co/HbjxBc3vYF",0.0,0.754,0.246,0.7351
49,2018-04-03,BBC,RT @BBCR1: Yessssss @NiallOfficial's Live Lounge cover of @juliamichaels' Issues is exactly what we needed today ? https://t.co/WeYj36TR67,0.0,1.0,0.0,0.0
50,2018-04-03,BBC,RT @BBCFOUR: Meet the woman who rocked the darts world... https://t.co/qMkRuTGDmW,0.0,1.0,0.0,0.0
51,2018-04-03,BBC,RT @TWBBC: Koko is a gorilla who has learnt sign language and even appears to have learnt to lie. This suggests she has a 'theory of mind'…,0.0,1.0,0.0,0.0
52,2018-04-03,BBC,"A Chinese family have been reunited with their daughter after a 24 year search.
? https://t.co/BDR7X4fukg https://t.co/J5BvVEw98q",0.0,1.0,0.0,0.0
53,2018-04-03,BBC,RT @bbccomedy: Philomena Cunk examines the barbaric conditions in which we keep today's dinosaurs. #CunkOnBritain @missdianemorgan https://…,0.0,1.0,0.0,0.0
54,2018-04-03,BBC,RT @BBCClick: Street Fighter II being played in your street? See how this classic game is brought to life with augmented reality! https://t…,0.0,0.83,0.17,0.5093
55,2018-04-03,BBC,#TheSecretHelpers is on @BBCTwo tonight at 7pm. ? https://t.co/grtaCChy4G,0.0,1.0,0.0,0.0
56,2018-04-03,BBC,"RT @BBCWales: The 2018 Commonwealth Games open today. Here's @TeamWales diver Aiden Heslop's story...

https://t.co/Rx0JsArMdi",0.0,1.0,0.0,0.0
57,2018-04-03,BBC,"Would you let a stranger help you in a nerve-wracking situation? 

Secret helpers in South Africa gave Jonny romanc… https://t.co/LRwo1LQteF",0.0,0.769,0.231,0.5859
58,2018-04-03,BBC,"8-year-old Alexa is going blind, so she's created a list of things she wants to see before that happens. ??https://t.co/7UAs9sWBDn",0.123,0.773,0.104,-0.1082
59,2018-04-03,BBC,RT @bbcthesocial: We're looking for folk to make videos with us! Get involved ? https://t.co/YY6eK82XPc,0.0,1.0,0.0,0.0
60,2018-04-03,BBC,"RT @BBCScotland: A classic nursery rhyme like you've never heard it before ? 

@DaftLimmy returns to our tellies with Limmy's Homemade Show…",0.0,0.884,0.116,0.3612
61,2018-04-03,BBC,"When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/2sSod0k54f",0.0,1.0,0.0,0.0
62,2018-04-03,BBC,RT @bbcthesocial: We're flipping the script on dyslexia (watch to the end!) https://t.co/Bkc6IVWqQw,0.0,1.0,0.0,0.0
